time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-03-22T11:04:39.999Z,62.5192,-150.8091,67.9,2.6,ml,,,,0.67,ak,ak0213q53tld,2021-03-23T06:40:12.040Z,"3 km NW of Petersville, Alaska",earthquake,,0.6,,,automatic,ak,ak
2021-03-22T10:52:27.947Z,-18.9179,169.3866,247.98,4.5,mb,,82,4.033,0.76,us,us7000dlke,2021-03-22T12:08:53.040Z,"69 km N of Isangel, Vanuatu",earthquake,10.4,9,0.098,31,reviewed,us,us
2021-03-22T09:54:45.340Z,67.3735,-157.2797,6,2.9,ml,,,,0.63,ak,ak0213q47ouk,2021-03-23T06:12:59.040Z,"40 km NE of Ambler, Alaska",earthquake,,0.5,,,automatic,ak,ak
2021-03-22T08:18:11.995Z,-28.6304,-176.3818,10,4.8,mb,,80,1.488,0.67,us,us7000dljz,2021-03-22T08:40:54.040Z,"Kermadec Islands region",earthquake,8.5,1.9,0.101,30,reviewed,us,us
2021-03-22T08:10:57.070Z,-21.293,-67.2599,189.75,4.4,mb,,89,1.857,0.63,us,us7000dlju,2021-03-22T09:03:24.040Z,"102 km SSW of Uyuni, Bolivia",earthquake,8.6,8.3,0.068,62,reviewed,us,us
2021-03-22T07:19:14.413Z,57.191,-153.9569,34.7,2.7,ml,,,,0.47,ak,ak0213q2t8y7,2021-03-22T07:39:29.982Z,"30 km NNE of Akhiok, Alaska",earthquake,,0.7,,,automatic,ak,ak
2021-03-22T07:18:59.054Z,13.9249,-92.7062,10,4.6,mb,,184,1.147,0.93,us,us7000dljm,2021-03-22T14:28:41.040Z,"85 km SW of Ocós, Guatemala",earthquake,6.5,2,0.042,169,reviewed,us,us
2021-03-22T07:00:05.966Z,-24.2714,-67.188,185.59,4.5,mb,,70,1.597,0.69,us,us7000dljh,2021-03-23T03:23:02.065Z,"88 km W of San Antonio de los Cobres, Argentina",earthquake,7.3,7.8,0.068,66,reviewed,us,us
2021-03-22T06:52:18.884Z,31.73428943,-104.5866695,6.157275391,2.9,ml,27,82,0.06431229557,0.3,tx,tx2021fqrw,2021-03-22T16:16:55.017Z,"52 km SSW of Whites City, New Mexico",earthquake,2.113090288,1.123162165,0.2,16,reviewed,tx,tx
2021-03-22T06:39:57.496Z,-22.9458,-66.513,245.61,4.5,mb,,95,1.535,0.84,us,us7000dljd,2021-03-22T13:38:33.040Z,"87 km WSW of Abra Pampa, Argentina",earthquake,7.3,9.4,0.14,15,reviewed,us,us
2021-03-22T06:25:21.908Z,-20.4747,-69.6887,31.11,3.6,ml,,94,0.47,0.59,us,us7000dljb,2021-03-22T21:29:35.430Z,"56 km ESE of Iquique, Chile",earthquake,2.3,11.2,0.071,26,reviewed,us,us
2021-03-22T06:03:36.450Z,19.4818333333333,-155.431666666667,-1.26,2.6,ml,47,63,,0.14,hv,hv72395047,2021-03-22T17:47:16.030Z,"21 km WNW of Volcano, Hawaii",earthquake,0.21,0.27,0.108907756287774,15,reviewed,hv,hv
2021-03-22T05:54:19.168Z,15.3209,-92.704,118.17,4.3,mb,,163,1.1,0.5,us,us7000dlj3,2021-03-22T06:53:52.040Z,"2 km ENE of Soconusco, Mexico",earthquake,7.2,6.1,0.201,7,reviewed,us,us
2021-03-22T04:53:14.340Z,3.8046,124.8107,284.59,4.2,mb,,91,3.949,0.86,us,us7000dliy,2021-03-22T22:31:32.040Z,"191 km SSW of Sarangani, Philippines",earthquake,10.1,6.8,0.08,43,reviewed,us,us
2021-03-22T04:37:42.004Z,3.9027,-71.3606,10,5.1,mww,,58,2.617,0.89,us,us7000dliw,2021-03-22T23:13:54.725Z,"92 km ESE of Puerto Gaitán, Colombia",earthquake,7,1.9,0.083,14,reviewed,us,us
2021-03-22T02:54:02.237Z,31.67793496,-104.4038154,7.10847168,3.9,ml,48,54,0.08318040599,0.3,tx,tx2021fqka,2021-03-23T02:56:45.593Z,"55 km S of Whites City, New Mexico",earthquake,0.8102625542,1.079319721,0.2,27,reviewed,tx,tx
2021-03-22T02:37:43.000Z,36.11333333,-98.029,5.95,3.25,ml,88,37,0,0.15,ok,ok2021fqjl,2021-03-23T02:39:53.596Z,"11 km W of Hennessey, Oklahoma",earthquake,,0.3,0.22,28,reviewed,ok,ok
2021-03-22T02:25:06.043Z,56.2893,-148.8248,10,2.9,ml,,267,2.542,0.97,us,us6000dvjm,2021-03-22T22:24:25.040Z,"256 km SE of Chiniak, Alaska",earthquake,9.1,2,0.052,49,reviewed,us,us
2021-03-22T01:34:32.833Z,0.5209,126.2584,43.51,4.5,mb,,44,1.135,0.9,us,us7000dlie,2021-03-22T01:52:02.040Z,"128 km WSW of Ternate, Indonesia",earthquake,7.3,7.7,0.092,35,reviewed,us,us
2021-03-21T22:33:08.610Z,37.8966667,-118.5543333,6.15,3.08,ml,48,62,0.2024,0.06,nc,nc73540280,2021-03-23T13:35:05.900Z,"39km NNE of Toms Place, CA",earthquake,0.17,1.67,0.182,20,reviewed,nc,nc
2021-03-21T21:13:12.845Z,54.8402,163.314,10,4.9,mww,,45,3.303,0.47,us,us7000dlhq,2021-03-22T00:22:37.040Z,"163 km SSE of Ust’-Kamchatsk Staryy, Russia",earthquake,8.1,1.8,0.093,11,reviewed,us,us
2021-03-21T20:44:13.690Z,37.2611656,-121.6374969,5.58,2.5,md,62,42,0.08043,0.06,nc,nc73540240,2021-03-22T18:39:49.617Z,"15km N of Morgan Hill, CA",earthquake,0.13,0.33,0.16,72,automatic,nc,nc
2021-03-21T19:04:50.930Z,34.0441667,-117.2516667,16.23,2.65,ml,138,18,0.06633,0.18,ci,ci39586591,2021-03-23T16:13:35.340Z,"1km ESE of Loma Linda, CA",earthquake,0.1,0.23,0.136,28,reviewed,ci,ci
2021-03-21T18:23:10.088Z,31.65260175,-104.3005204,6.979931641,2.6,ml,20,59,0.1217072047,0.3,tx,tx2021fptd,2021-03-22T14:47:20.065Z,"58 km S of Whites City, New Mexico",earthquake,1.196747813,1.682253657,0.2,11,reviewed,tx,tx
2021-03-21T17:15:54.889Z,39.769,22.1131,10,4.3,mb,,45,0.441,1.04,us,us7000dlh1,2021-03-21T17:30:40.040Z,"11 km E of Verdikoússa, Greece",earthquake,4.9,1.9,0.168,10,reviewed,us,us
2021-03-21T16:30:09.309Z,2.3267,127.7219,119.77,4.6,mb,,67,1.584,0.64,us,us7000dlgv,2021-03-21T17:27:31.040Z,"73 km NNW of Tobelo, Indonesia",earthquake,7.9,4.9,0.091,36,reviewed,us,us
2021-03-21T16:27:18.219Z,-28.6099,-176.5924,10,4.9,mb,,79,1.331,0.56,us,us7000dlgx,2021-03-21T17:09:18.040Z,"Kermadec Islands region",earthquake,11,1.9,0.108,27,reviewed,us,us
2021-03-21T16:11:58.467Z,-6.4067,128.8638,240.39,4.4,mb,,58,2.879,0.64,us,us7000dlgr,2021-03-21T17:05:48.040Z,"Banda Sea",earthquake,8.1,9,0.138,15,reviewed,us,us
2021-03-21T16:06:25.458Z,-1.8319,69.2668,12.28,4.6,mb,,83,4.384,0.73,us,us7000dlgs,2021-03-21T16:43:14.040Z,"Carlsberg Ridge",earthquake,9.3,4.9,0.141,15,reviewed,us,us
2021-03-21T15:30:50.132Z,35.6961,140.4533,58.67,4.5,mb,,120,2.003,0.47,us,us7000dlgh,2021-03-22T05:12:29.787Z,"8 km W of Yōkaichiba, Japan",earthquake,9.1,7.6,0.095,33,reviewed,us,us
2021-03-21T15:13:07.534Z,65.7827,-147.3192,11.6,2.9,ml,,,,0.63,ak,ak0213ok02r8,2021-03-21T15:33:10.040Z,"63 km ENE of Livengood, Alaska",earthquake,,0.4,,,automatic,ak,ak
2021-03-21T14:17:16.237Z,-19.4921,-63.9824,592.68,5.2,mww,,27,4.91,0.58,us,us7000dlg5,2021-03-22T21:28:54.040Z,"34 km N of Monteagudo, Bolivia",earthquake,10.1,6.7,0.073,18,reviewed,us,us
2021-03-21T13:55:42.549Z,60.3732,-153.1279,133.5,2.5,ml,,,,0.6,ak,ak0213oj29z0,2021-03-21T14:06:57.040Z,"68 km ENE of Port Alsworth, Alaska",earthquake,,0.4,,,automatic,ak,ak
2021-03-21T12:03:02.680Z,35.7666667,-117.5911667,6.65,2.8,ml,47,53,0.04924,0.15,ci,ci39586383,2021-03-22T21:15:34.180Z,"17km W of Searles Valley, CA",earthquake,0.13,0.4,0.12,23,reviewed,ci,ci
